p_value,stat,time
0.3643577995093663,0.34683457693358666,0.018552780151367188
0.32703694662383864,0.44810988654866074,0.013468265533447266
0.2857700381488595,0.5657848062191637,0.010329961776733398
0.23664265111506366,0.717143913347287,0.008807659149169922
0.032374712945948736,1.8469842299725843,0.009198904037475586
0.9923241153797647,-2.423972469433736,0.009917497634887695
0.6090622681680646,-0.27687581506858283,0.00951385498046875
0.4912701782537904,0.02188416467791615,0.009347200393676758
0.08488658287912731,1.3729330344224093,0.009454727172851562
0.6452014095999978,-0.372397142957315,0.009203910827636719
0.2142291552667399,0.7918325665559753,0.009668827056884766
0.5684675733276803,-0.17247405940420904,0.008702278137207031
0.06539266290402945,1.5110122658137313,0.008594512939453125
0.3977786956844003,0.2591008987525947,0.008565187454223633
0.5069064202070797,-0.017312692982335502,0.00958251953125
0.8979559224714784,-1.2699901044096695,0.010541439056396484
0.9437652344414237,-1.5871903878454463,0.00897359848022461
0.31103099947303603,0.4929300707556755,0.009000301361083984
0.7502867780515994,-0.6753924769254046,0.008257150650024414
0.12958002966573035,1.1283786052634865,0.00948786735534668
0.547974044744246,-0.12054439926795048,0.00923299789428711
0.08119013970246036,1.3971107174817476,0.008890390396118164
0.8543361751196303,-1.0552135907951918,0.009689092636108398
0.21650908748101982,0.7840373836432659,0.009293794631958008
0.27360223536291395,0.6019544310414433,0.008643150329589844
0.695467609630914,-0.5114088763750838,0.007644176483154297
0.9722471683828869,-1.9148968217181157,0.013975381851196289
0.044091250136391036,1.705063938650528,0.014522075653076172
0.20891075158973105,0.8102064984953374,0.008817434310913086
0.971053145733667,-1.8965019034639252,0.008074283599853516
0.5093414863942717,-0.023417774100801213,0.010883569717407227
0.9888083863528526,-2.283801027044216,0.010010719299316406
0.3848647305164331,0.2927287914154197,0.008869409561157227
0.39748626319762503,0.25985901543259327,0.008961915969848633
0.5051181331370433,-0.01282960918248199,0.00889277458190918
0.44251177712711576,0.1446039805401555,0.01046609878540039
0.011560325502739888,2.271435109953574,0.007615327835083008
0.7189437726563128,-0.5797066550558633,0.008692264556884766
0.7317088168163698,-0.6179893387378645,0.007302045822143555
0.2237130398204481,0.7597131282939534,0.008790016174316406
0.2304917691777688,0.7372282800924392,0.007647275924682617
0.2527494638230521,0.6658626001407136,0.008231163024902344
0.356154314085127,0.36875730870225476,0.0085296630859375
0.11832491101544629,1.1834021086287756,0.008301734924316406
0.03881149337450729,1.7646477399072402,0.008008718490600586
0.011067114255159272,2.2880565433841924,0.008056879043579102
0.17637078842301568,0.9292846716961903,0.007854938507080078
0.657150834190871,-0.40469960629187685,0.008170843124389648
0.9223277705783713,-1.4209047261992125,0.008305549621582031
0.01711767827546129,2.1172886621583937,0.009047508239746094
0.5358710997778797,-0.09003701513463011,0.009328126907348633
0.7450522958429464,-0.6590005611544528,0.007639408111572266
0.6538226520533995,-0.39566158834035214,0.0086669921875
0.5715726310983862,-0.18037938430971145,0.008584976196289062
0.7521905843457405,-0.6813993543415647,0.009561300277709961
0.9179458838053445,-1.3913865783281258,0.007399559020996094
0.09708610644374205,1.2983350916240861,0.008647680282592773
0.8110144929138664,-0.8816409293668497,0.007208347320556641
0.2789335267962827,0.5860125910964795,0.009241580963134766
0.6058411922225195,-0.2684959192608081,0.00975179672241211
0.9803464917914723,-2.0609583221903716,0.008669137954711914
0.251273003884001,0.6704891703736948,0.009878873825073242
0.5231464288959363,-0.05805208300013733,0.007654905319213867
0.0324457719223632,1.8460045564314513,0.010855913162231445
0.5632427575705148,-0.1591959623698216,0.01023411750793457
0.19334845982075466,0.8656230342017346,0.008929729461669922
0.2673514540840547,0.6208430299254861,0.007938385009765625
0.14849958375248118,1.0428901599509166,0.00793313980102539
0.9849435674285201,-2.168602632597102,0.007827520370483398
0.9968359636288782,-2.730279094739882,0.007848739624023438
0.23949973191261686,0.7079127139696397,0.008618831634521484
0.9883711201320413,-2.2691737856983587,0.008497476577758789
0.07747918871194448,1.4222338419757692,0.009762048721313477
0.6152541666118083,-0.2930398831406379,0.008730173110961914
0.4682555282015607,0.07965574691826756,0.011278867721557617
0.9721599307739224,-1.9135307683803784,0.009161233901977539
0.6597663885150096,-0.4118256452619277,0.008512020111083984
0.07289762035749348,1.4545450944245526,0.008754491806030273
0.7651009072054327,-0.7228074565686043,0.00931239128112793
0.6180680733848858,-0.3004107652269312,0.008819341659545898
0.21489540639170235,0.7895496673407741,0.008237361907958984
0.5452460042619764,-0.11365915593548533,0.008425712585449219
0.001164428282943164,3.044734681936186,0.008934974670410156
0.13624636468386164,1.0973401418154127,0.008749723434448242
0.8995179157942272,-1.2788094412383593,0.008413553237915039
0.7287194137767053,-0.6089445819447985,0.009256601333618164
0.9940455081573047,-2.5148298682490644,0.008986711502075195
0.46619919628552997,0.08482767348187242,0.008156061172485352
0.7106299559920304,-0.5552259987247995,0.008812665939331055
0.7880671807288638,-0.7997327764211125,0.008844375610351562
0.6248633312114478,-0.3182789666568341,0.008337020874023438
0.04539069519158323,1.691290202293418,0.008230209350585938
0.7010164007758265,-0.52732603380626,0.008463859558105469
0.6093113511794104,-0.2775246282055133,0.008572578430175781
0.4223415399856524,0.19590684446268578,0.008231163024902344
0.4680746755055789,0.08011052613584223,0.008944511413574219
0.3406026367469517,0.41081898174443776,0.010335683822631836
0.04086539556015523,1.7407307182547653,0.008862733840942383
0.4794649575818408,0.05149646935932105,0.00924825668334961
0.700653072674786,-0.5262797441820057,0.008361339569091797
